project_id,project_name,description,client_name,project_manager_id,department,start_date,planned_end_date,actual_end_date,status,priority,progress_percentage,budget,team_size,created_date
P05872,Marketing Analytics Platform,Marketing Analytics Platform project for FinanceCorp,FinanceCorp,EMP125,Finance,2025-07-22,2025-12-10,,In Progress,Medium,88,970000,20,2025-06-28
P05873,Cybersecurity Upgrade,Cybersecurity Upgrade project for MedCare Hospitals,MedCare Hospitals,EMP119,Human Resources,2026-04-07,2026-07-11,,In Progress,Medium,73,2105000,11,2026-03-08
P05874,Healthcare Management System,Healthcare Management System project for MedCare Hospitals,MedCare Hospitals,EMP106,AI Development,2025-07-25,2025-10-31,,In Progress,High,49,2135000,11,2025-07-15
P05875,Cybersecurity Upgrade,Cybersecurity Upgrade project for ABC Corporation,ABC Corporation,EMP120,Security,2025-10-13,2026-08-28,,In Progress,Medium,49,1180000,19,2025-08-16
P05876,HR Automation System,HR Automation System project for MedCare Hospitals,MedCare Hospitals,EMP133,AI Development,2025-02-11,2025-08-13,,In Progress,Medium,64,1280000,17,2025-01-26
P05877,Document Management System,Document Management System project for LogiTech,LogiTech,EMP132,Development,2026-06-25,2026-12-17,,Planning,Medium,5,2235000,11,2026-06-14
P05878,Customer Support Chatbot,Customer Support Chatbot project for PeopleFirst,PeopleFirst,EMP120,AI Development,2026-02-17,2026-06-21,,In Progress,Low,59,2225000,9,2026-01-20
P05879,Data Warehouse Development,Data Warehouse Development project for IndustrialTech,IndustrialTech,EMP131,Human Resources,2025-05-30,2025-11-04,2025-11-22,Delayed,High,49,2410000,19,2025-04-24
P05880,E-Commerce Platform,E-Commerce Platform project for MedCare Hospitals,MedCare Hospitals,EMP139,IT Infrastructure,2025-01-27,2025-07-09,2025-06-25,Completed,Medium,100,1625000,10,2024-12-06
P05881,Inventory Management System,Inventory Management System project for FinanceCorp,FinanceCorp,EMP147,Customer Success,2026-05-27,2027-03-07,,In Progress,Medium,58,1345000,19,2026-05-14
P05882,AI Demand Forecasting,AI Demand Forecasting project for DataCorp,DataCorp,EMP127,Operations,2025-01-01,2025-11-05,,In Progress,High,47,2110000,10,2024-11-26
P05883,Warehouse Automation,Warehouse Automation project for XYZ Technologies,XYZ Technologies,EMP112,Security,2025-10-17,2026-04-29,,In Progress,Medium,22,430000,13,2025-09-09
P05884,Customer Support Chatbot,Customer Support Chatbot project for LogiTech,LogiTech,EMP107,Healthcare IT,2025-01-19,2025-06-19,,On Hold,Medium,57,2215000,12,2024-12-29
P05885,Mobile Banking Application,Mobile Banking Application project for ServicePro,ServicePro,EMP108,Human Resources,2026-02-21,2026-08-29,,In Progress,Critical,55,735000,17,2026-02-04
P05886,Warehouse Automation,Warehouse Automation project for SalesPro,SalesPro,EMP101,Data Engineering,2025-05-03,2025-08-11,,In Progress,High,30,1305000,17,2025-04-19
P05887,AI Demand Forecasting,AI Demand Forecasting project for XYZ Technologies,XYZ Technologies,EMP128,Operations,2025-09-14,2025-11-19,2025-12-16,Completed,Medium,100,1795000,4,2025-08-17
P05888,Inventory Management System,Inventory Management System project for IndustrialTech,IndustrialTech,EMP111,Marketing,2025-12-09,2026-04-07,,Planning,High,4,315000,18,2025-10-31
P05889,Data Warehouse Development,Data Warehouse Development project for FinanceCorp,FinanceCorp,EMP112,Marketing,2025-08-11,2025-10-02,,In Progress,Medium,56,1130000,5,2025-07-12
P05890,Financial Reporting Dashboard,Financial Reporting Dashboard project for CloudWorks,CloudWorks,EMP137,IT Infrastructure,2026-02-13,2026-04-09,,In Progress,High,79,910000,17,2026-01-30
P05891,Cybersecurity Upgrade,Cybersecurity Upgrade project for EduTech,EduTech,EMP116,Human Resources,2025-11-01,2026-03-02,2026-05-20,Delayed,High,38,405000,15,2025-10-11
P05892,Supply Chain Analytics,Supply Chain Analytics project for MarketPlus,MarketPlus,EMP142,AI Development,2025-09-10,2026-08-09,2026-08-06,Completed,Low,100,630000,13,2025-09-02
P05893,Mobile Banking Application,Mobile Banking Application project for LogiTech,LogiTech,EMP107,Security,2025-07-13,2025-10-25,,In Progress,High,83,610000,3,2025-06-20
P05894,Healthcare Management System,Healthcare Management System project for FinanceCorp,FinanceCorp,EMP118,Customer Success,2025-09-03,2026-05-29,,In Progress,Medium,79,1940000,18,2025-08-28
P05895,Cloud Migration Project,Cloud Migration Project project for PeopleFirst,PeopleFirst,EMP103,Development,2025-07-12,2025-10-12,2025-11-15,Delayed,Medium,21,1160000,15,2025-05-27
P05896,Employee Payroll System,Employee Payroll System project for CloudWorks,CloudWorks,EMP127,Healthcare IT,2025-12-13,2026-06-24,,In Progress,Medium,26,355000,13,2025-10-31
P05897,E-Commerce Platform,E-Commerce Platform project for ServicePro,ServicePro,EMP107,IT,2026-04-04,2026-11-29,,Planning,Critical,15,750000,7,2026-02-24
P05898,AI Demand Forecasting,AI Demand Forecasting project for FinanceCorp,FinanceCorp,EMP113,Finance,2025-12-25,2026-08-06,2026-09-20,Delayed,Medium,59,1880000,16,2025-11-02
P05899,CRM Implementation,CRM Implementation project for LogiTech,LogiTech,EMP137,Analytics,2025-01-20,2025-11-16,2025-11-26,Delayed,High,28,750000,7,2024-12-14
P05900,Social Media Analytics,Social Media Analytics project for IndustrialTech,IndustrialTech,EMP145,IT,2026-05-22,2026-09-25,,In Progress,Medium,95,1235000,10,2026-04-18
P05901,Document Management System,Document Management System project for RetailAnalytics,RetailAnalytics,EMP128,Customer Success,2026-04-17,2027-01-24,,In Progress,Medium,15,1730000,9,2026-03-13
P05902,Inventory Management System,Inventory Management System project for ABC Corporation,ABC Corporation,EMP149,Data Engineering,2026-05-07,2026-10-28,2026-11-19,Completed,High,100,2410000,10,2026-04-17
P05903,HR Automation System,HR Automation System project for ABC Corporation,ABC Corporation,EMP138,Data Engineering,2025-01-30,2025-08-05,,In Progress,Medium,47,385000,19,2024-12-30
P05904,Employee Payroll System,Employee Payroll System project for FinTech Solutions,FinTech Solutions,EMP138,IT Infrastructure,2026-05-10,2026-10-04,,In Progress,Critical,16,750000,16,2026-04-24
P05905,Inventory Management System,Inventory Management System project for CloudWorks,CloudWorks,EMP150,AI Development,2025-10-08,2026-10-07,2026-10-31,Completed,High,100,750000,15,2025-09-08
P05906,Mobile Banking Application,Mobile Banking Application project for ServicePro,ServicePro,EMP105,IT,2026-05-22,2027-03-26,,In Progress,High,88,2240000,15,2026-05-02
P05907,Marketing Analytics Platform,Marketing Analytics Platform project for IndustrialTech,IndustrialTech,EMP112,Development,2026-04-14,2026-10-24,,In Progress,Low,52,1490000,16,2026-03-27
P05908,Document Management System,Document Management System project for CloudWorks,CloudWorks,EMP122,Development,2026-06-12,2027-03-21,2027-04-05,Completed,Medium,100,1940000,16,2026-05-22
P05909,Employee Payroll System,Employee Payroll System project for ServicePro,ServicePro,EMP131,IT Infrastructure,2025-03-15,2026-02-16,2026-03-12,Delayed,Medium,64,1285000,17,2025-03-05
P05910,Cloud Migration Project,Cloud Migration Project project for OfficePro,OfficePro,EMP150,Sales,2025-11-30,2026-04-14,2026-04-22,Completed,Critical,100,1315000,3,2025-10-23
P05911,Inventory Management System,Inventory Management System project for IndustrialTech,IndustrialTech,EMP105,Sales,2026-03-14,2026-08-10,,In Progress,Low,80,2440000,17,2026-03-01
P05912,Healthcare Management System,Healthcare Management System project for MedCare Hospitals,MedCare Hospitals,EMP112,Data Engineering,2025-12-24,2026-10-08,,On Hold,High,27,620000,8,2025-10-30
P05913,Data Warehouse Development,Data Warehouse Development project for FinTech Solutions,FinTech Solutions,EMP115,Healthcare IT,2026-05-02,2026-09-14,,In Progress,High,40,1145000,6,2026-03-31
P05914,Inventory Management System,Inventory Management System project for FinanceCorp,FinanceCorp,EMP134,Healthcare IT,2026-03-13,2026-05-27,,Planning,High,13,2470000,6,2026-02-24
P05915,Cloud Migration Project,Cloud Migration Project project for ABC Corporation,ABC Corporation,EMP148,Healthcare IT,2025-01-22,2025-09-14,,In Progress,Critical,89,835000,19,2024-11-26
P05916,E-Commerce Platform,E-Commerce Platform project for LogiTech,LogiTech,EMP147,AI Development,2025-04-30,2025-08-17,,In Progress,High,30,500000,17,2025-04-06
P05917,Healthcare Management System,Healthcare Management System project for IndustrialTech,IndustrialTech,EMP138,Healthcare IT,2026-01-16,2026-09-05,,In Progress,Medium,49,915000,10,2025-12-12
P05918,Customer Support Chatbot,Customer Support Chatbot project for RetailAnalytics,RetailAnalytics,EMP139,Human Resources,2025-08-05,2025-10-23,2025-10-24,Completed,High,100,2130000,19,2025-06-29
P05919,Data Warehouse Development,Data Warehouse Development project for SecureNet,SecureNet,EMP121,Finance,2025-08-03,2026-02-17,,Planning,Medium,5,2490000,13,2025-06-09
P05920,Document Management System,Document Management System project for IndustrialTech,IndustrialTech,EMP131,Customer Success,2026-07-02,2026-10-31,,In Progress,High,30,1650000,18,2026-06-03
P05921,Mobile Banking Application,Mobile Banking Application project for FinTech Solutions,FinTech Solutions,EMP109,Data Engineering,2025-02-23,2025-09-25,2025-11-28,Delayed,Medium,34,2475000,17,2025-01-05
P05922,Employee Payroll System,Employee Payroll System project for FinTech Solutions,FinTech Solutions,EMP126,Human Resources,2025-11-10,2026-03-07,,Planning,High,9,650000,7,2025-10-30
P05923,Data Warehouse Development,Data Warehouse Development project for OfficePro,OfficePro,EMP115,Finance,2025-07-06,2025-11-08,,In Progress,Medium,23,1665000,18,2025-06-25
P05924,AI Demand Forecasting,AI Demand Forecasting project for SalesPro,SalesPro,EMP147,AI Development,2025-02-01,2025-12-31,2026-01-14,Delayed,High,64,1585000,20,2025-01-19
P05925,Document Management System,Document Management System project for ServicePro,ServicePro,EMP119,AI Development,2025-08-13,2026-08-07,,Planning,Medium,3,545000,12,2025-06-17
P05926,Mobile Banking Application,Mobile Banking Application project for PeopleFirst,PeopleFirst,EMP120,Data Engineering,2025-09-01,2026-01-28,,In Progress,High,55,1635000,8,2025-07-27
P05927,Cybersecurity Upgrade,Cybersecurity Upgrade project for Global Traders,Global Traders,EMP121,IT,2025-09-30,2026-06-08,,Planning,Low,4,1455000,12,2025-08-30
P05928,Online Learning Platform,Online Learning Platform project for PeopleFirst,PeopleFirst,EMP146,Data Engineering,2025-04-07,2025-09-12,2025-09-18,Completed,Low,100,1950000,18,2025-02-28
P05929,Mobile Banking Application,Mobile Banking Application project for DigitalHub,DigitalHub,EMP147,Analytics,2026-03-13,2026-06-20,,In Progress,Critical,50,2120000,10,2026-02-17
P05930,Financial Reporting Dashboard,Financial Reporting Dashboard project for MarketPlus,MarketPlus,EMP122,Operations,2025-08-02,2025-10-17,2025-12-30,Delayed,High,30,755000,3,2025-06-26
P05931,Document Management System,Document Management System project for DataCorp,DataCorp,EMP150,Operations,2025-12-11,2026-11-05,2026-10-17,Completed,Medium,100,500000,3,2025-11-06
P05932,Cloud Migration Project,Cloud Migration Project project for SecureNet,SecureNet,EMP138,Sales,2025-11-23,2026-01-28,,In Progress,Medium,30,2330000,16,2025-10-05
P05933,Healthcare Management System,Healthcare Management System project for DigitalHub,DigitalHub,EMP143,Data Engineering,2025-12-05,2026-06-25,2026-09-19,Delayed,High,43,1915000,14,2025-10-29
P05934,Healthcare Management System,Healthcare Management System project for EduTech,EduTech,EMP146,Marketing,2025-10-31,2026-02-23,,In Progress,Medium,71,1065000,6,2025-10-16
P05935,Warehouse Automation,Warehouse Automation project for FinanceCorp,FinanceCorp,EMP117,IT Infrastructure,2025-06-30,2026-04-14,2026-04-17,Completed,Medium,100,1460000,15,2025-06-08
P05936,Financial Reporting Dashboard,Financial Reporting Dashboard project for ServicePro,ServicePro,EMP128,Sales,2025-10-22,2026-01-18,2025-12-31,Completed,High,100,2100000,8,2025-09-23
P05937,Inventory Management System,Inventory Management System project for ABC Corporation,ABC Corporation,EMP115,Sales,2025-11-15,2026-07-02,2026-07-12,Completed,Low,100,615000,11,2025-09-20
P05938,Online Learning Platform,Online Learning Platform project for XYZ Technologies,XYZ Technologies,EMP116,Human Resources,2025-01-12,2025-06-16,,In Progress,High,49,255000,6,2024-12-13
P05939,AI Demand Forecasting,AI Demand Forecasting project for DataCorp,DataCorp,EMP124,Healthcare IT,2026-03-11,2026-10-08,,In Progress,Medium,43,1480000,3,2026-02-09
P05940,Inventory Management System,Inventory Management System project for ABC Corporation,ABC Corporation,EMP103,Development,2025-09-25,2026-01-07,2026-01-21,Completed,High,100,460000,19,2025-09-09
P05941,Financial Reporting Dashboard,Financial Reporting Dashboard project for SecureNet,SecureNet,EMP111,Healthcare IT,2025-06-25,2025-09-15,,In Progress,Medium,61,2415000,13,2025-06-17
P05942,Marketing Analytics Platform,Marketing Analytics Platform project for XYZ Technologies,XYZ Technologies,EMP141,IT Infrastructure,2025-01-18,2025-04-30,2025-04-16,Completed,Medium,100,710000,20,2024-12-05
P05943,Inventory Management System,Inventory Management System project for MedCare Hospitals,MedCare Hospitals,EMP109,Operations,2025-07-02,2026-02-16,2026-04-05,Delayed,Critical,88,1905000,4,2025-05-07
P05944,Data Warehouse Development,Data Warehouse Development project for ABC Corporation,ABC Corporation,EMP132,Operations,2025-08-31,2026-05-10,,In Progress,High,80,1850000,10,2025-08-09
P05945,Financial Reporting Dashboard,Financial Reporting Dashboard project for XYZ Technologies,XYZ Technologies,EMP139,Analytics,2026-05-17,2027-04-16,2027-05-14,Delayed,Critical,48,625000,11,2026-04-30
P05946,Mobile Banking Application,Mobile Banking Application project for IndustrialTech,IndustrialTech,EMP114,Marketing,2026-01-24,2027-01-05,,Planning,High,10,305000,3,2025-12-16
P05947,Financial Reporting Dashboard,Financial Reporting Dashboard project for EduTech,EduTech,EMP123,Data Engineering,2025-09-08,2026-06-20,,Planning,Low,4,770000,17,2025-07-12
P05948,Document Management System,Document Management System project for IndustrialTech,IndustrialTech,EMP144,Development,2025-03-17,2025-05-04,,In Progress,High,74,1465000,20,2025-02-17
P05949,Document Management System,Document Management System project for IndustrialTech,IndustrialTech,EMP142,AI Development,2025-06-14,2026-03-11,,In Progress,Medium,84,535000,7,2025-04-19
P05950,Cloud Migration Project,Cloud Migration Project project for ABC Retail,ABC Retail,EMP147,Security,2026-07-05,2027-04-01,,In Progress,Medium,84,2365000,18,2026-06-17
P05951,Supply Chain Analytics,Supply Chain Analytics project for DigitalHub,DigitalHub,EMP132,Data Engineering,2025-03-18,2025-12-13,,In Progress,Medium,31,2010000,19,2025-01-19
P05952,Warehouse Automation,Warehouse Automation project for XYZ Technologies,XYZ Technologies,EMP145,IT,2026-01-14,2026-09-26,2026-10-22,Completed,Medium,100,755000,10,2025-12-29
P05953,Inventory Management System,Inventory Management System project for DigitalHub,DigitalHub,EMP120,Sales,2025-11-07,2026-07-30,2026-08-27,Delayed,Low,73,505000,15,2025-11-02
P05954,Data Warehouse Development,Data Warehouse Development project for DataCorp,DataCorp,EMP131,Sales,2025-05-11,2025-12-29,2025-12-15,Completed,Low,100,400000,11,2025-04-09
P05955,Data Warehouse Development,Data Warehouse Development project for IndustrialTech,IndustrialTech,EMP134,Marketing,2026-06-09,2027-02-07,,In Progress,High,28,2095000,7,2026-05-25
P05956,Cybersecurity Upgrade,Cybersecurity Upgrade project for MarketPlus,MarketPlus,EMP149,Customer Success,2025-08-25,2026-05-18,,On Hold,Critical,10,2235000,8,2025-08-07
P05957,Customer Support Chatbot,Customer Support Chatbot project for Global Traders,Global Traders,EMP119,Healthcare IT,2026-02-01,2026-03-31,2026-04-07,Completed,Medium,100,1435000,7,2026-01-01
P05958,Cybersecurity Upgrade,Cybersecurity Upgrade project for FinTech Solutions,FinTech Solutions,EMP144,IT,2025-02-28,2025-09-23,2025-10-19,Completed,Low,100,1520000,20,2025-01-17
P05959,CRM Implementation,CRM Implementation project for FinTech Solutions,FinTech Solutions,EMP126,Healthcare IT,2026-08-03,2026-10-27,,In Progress,Medium,73,1200000,4,2026-06-21
P05960,Social Media Analytics,Social Media Analytics project for IndustrialTech,IndustrialTech,EMP106,Analytics,2025-01-14,2025-12-21,2025-12-12,Completed,High,100,2045000,10,2024-12-07
P05961,Inventory Management System,Inventory Management System project for CloudWorks,CloudWorks,EMP133,Data Engineering,2025-07-06,2026-07-02,,Planning,Medium,8,2215000,18,2025-06-15
P05962,CRM Implementation,CRM Implementation project for ServicePro,ServicePro,EMP150,Healthcare IT,2026-07-04,2026-10-07,,In Progress,High,39,955000,12,2026-05-17
P05963,Warehouse Automation,Warehouse Automation project for FinTech Solutions,FinTech Solutions,EMP123,Operations,2026-01-18,2026-12-14,,Planning,Medium,10,2275000,4,2025-11-21
P05964,Financial Reporting Dashboard,Financial Reporting Dashboard project for XYZ Technologies,XYZ Technologies,EMP128,IT,2026-02-10,2026-08-25,2026-09-19,Completed,High,100,795000,9,2026-01-29
P05965,Cybersecurity Upgrade,Cybersecurity Upgrade project for FinanceCorp,FinanceCorp,EMP147,Analytics,2025-07-08,2026-03-25,,Planning,High,8,745000,14,2025-06-23
P05966,HR Automation System,HR Automation System project for SecureNet,SecureNet,EMP147,IT,2026-04-13,2026-12-22,,In Progress,Medium,34,2165000,5,2026-02-19
P05967,Cybersecurity Upgrade,Cybersecurity Upgrade project for DigitalHub,DigitalHub,EMP121,Healthcare IT,2026-07-13,2026-10-03,,In Progress,Critical,51,1420000,16,2026-07-01
P05968,CRM Implementation,CRM Implementation project for SalesPro,SalesPro,EMP139,Customer Success,2026-01-09,2026-12-10,,In Progress,Medium,17,370000,14,2025-12-07
P05969,Inventory Management System,Inventory Management System project for RetailAnalytics,RetailAnalytics,EMP132,IT Infrastructure,2025-05-12,2026-01-17,,In Progress,Medium,78,480000,7,2025-03-30
P05970,HR Automation System,HR Automation System project for ABC Corporation,ABC Corporation,EMP133,Security,2026-06-29,2027-01-15,2027-02-12,Delayed,Medium,86,900000,17,2026-05-20
P05971,Cybersecurity Upgrade,Cybersecurity Upgrade project for MedCare Hospitals,MedCare Hospitals,EMP137,Security,2025-01-03,2025-09-01,2025-11-23,Delayed,Medium,60,650000,9,2024-12-14
P05972,Customer Support Chatbot,Customer Support Chatbot project for DataCorp,DataCorp,EMP117,Operations,2026-06-22,2027-06-14,2027-07-28,Delayed,Critical,64,2490000,9,2026-04-25
P05973,Marketing Analytics Platform,Marketing Analytics Platform project for FinTech Solutions,FinTech Solutions,EMP116,Sales,2025-01-06,2025-09-15,2025-09-15,Completed,Medium,100,1865000,8,2024-12-27
P05974,HR Automation System,HR Automation System project for OfficePro,OfficePro,EMP102,Customer Success,2025-02-04,2025-10-17,,In Progress,High,75,1235000,9,2025-01-02
P05975,AI Demand Forecasting,AI Demand Forecasting project for PeopleFirst,PeopleFirst,EMP143,Data Engineering,2025-01-26,2025-12-17,,Planning,High,10,2065000,17,2024-12-12
P05976,Cloud Migration Project,Cloud Migration Project project for ABC Retail,ABC Retail,EMP114,Customer Success,2025-04-24,2026-01-17,,In Progress,High,94,910000,3,2025-03-02
P05977,Document Management System,Document Management System project for Global Traders,Global Traders,EMP134,Sales,2026-03-13,2026-06-11,2026-08-23,Delayed,Medium,40,315000,20,2026-03-07
P05978,Inventory Management System,Inventory Management System project for SalesPro,SalesPro,EMP135,Data Engineering,2025-08-26,2026-06-28,,In Progress,Low,72,1070000,16,2025-08-04
P05979,Customer Support Chatbot,Customer Support Chatbot project for SecureNet,SecureNet,EMP136,Analytics,2025-02-17,2026-01-15,,In Progress,High,37,1055000,20,2024-12-23
P05980,CRM Implementation,CRM Implementation project for ServicePro,ServicePro,EMP144,IT,2025-07-24,2026-04-29,2026-05-03,Completed,Medium,100,565000,14,2025-06-04
P05981,CRM Implementation,CRM Implementation project for SecureNet,SecureNet,EMP144,Operations,2026-08-22,2026-11-23,,In Progress,Critical,37,1670000,4,2026-08-13
P05982,Employee Payroll System,Employee Payroll System project for MarketPlus,MarketPlus,EMP101,Marketing,2025-11-12,2026-06-12,,In Progress,Medium,50,1120000,16,2025-09-17
P05983,Document Management System,Document Management System project for DataCorp,DataCorp,EMP143,Sales,2026-03-14,2026-05-15,2026-06-16,Delayed,Medium,74,920000,15,2026-01-29
P05984,Warehouse Automation,Warehouse Automation project for LogiTech,LogiTech,EMP111,Customer Success,2025-06-09,2026-03-28,,In Progress,Critical,48,1610000,11,2025-05-25
P05985,Mobile Banking Application,Mobile Banking Application project for MarketPlus,MarketPlus,EMP133,AI Development,2025-11-09,2026-10-26,2026-12-05,Delayed,High,80,1875000,13,2025-10-23
P05986,Healthcare Management System,Healthcare Management System project for ABC Corporation,ABC Corporation,EMP134,Human Resources,2026-04-24,2026-06-19,,In Progress,Medium,46,2480000,9,2026-03-23
P05987,Document Management System,Document Management System project for Global Traders,Global Traders,EMP103,Finance,2026-02-09,2026-04-29,,In Progress,High,49,2240000,19,2025-12-27
P05988,Cloud Migration Project,Cloud Migration Project project for Global Traders,Global Traders,EMP115,IT,2025-01-05,2025-12-14,,Planning,Medium,10,285000,19,2024-11-12
P05989,Social Media Analytics,Social Media Analytics project for Global Traders,Global Traders,EMP146,Marketing,2025-12-31,2026-10-27,,In Progress,Medium,68,590000,13,2025-12-02
P05990,Online Learning Platform,Online Learning Platform project for IndustrialTech,IndustrialTech,EMP108,Development,2026-04-20,2027-02-22,,In Progress,Medium,50,1475000,20,2026-03-27
P05991,E-Commerce Platform,E-Commerce Platform project for LogiTech,LogiTech,EMP112,Human Resources,2025-03-23,2025-07-12,,Planning,Critical,10,1290000,11,2025-02-07
P05992,Marketing Analytics Platform,Marketing Analytics Platform project for ABC Corporation,ABC Corporation,EMP105,Finance,2025-08-25,2026-05-01,,In Progress,Critical,19,2215000,6,2025-07-13
P05993,Warehouse Automation,Warehouse Automation project for DigitalHub,DigitalHub,EMP109,Finance,2026-01-22,2026-11-28,,In Progress,High,25,2085000,11,2025-12-08
P05994,Data Warehouse Development,Data Warehouse Development project for DigitalHub,DigitalHub,EMP132,Human Resources,2025-01-04,2025-03-12,,In Progress,Medium,26,1440000,19,2024-12-25
P05995,Mobile Banking Application,Mobile Banking Application project for ServicePro,ServicePro,EMP143,Analytics,2026-03-03,2026-07-16,,Planning,High,15,2385000,18,2026-02-06
P05996,Customer Support Chatbot,Customer Support Chatbot project for ABC Corporation,ABC Corporation,EMP130,Analytics,2026-05-24,2026-10-10,,In Progress,Medium,44,1060000,3,2026-05-03
P05997,Social Media Analytics,Social Media Analytics project for LogiTech,LogiTech,EMP115,Operations,2025-11-12,2026-06-18,,In Progress,Medium,50,1715000,15,2025-09-14
P05998,AI Demand Forecasting,AI Demand Forecasting project for IndustrialTech,IndustrialTech,EMP143,AI Development,2025-09-26,2026-01-30,,Planning,High,11,1815000,17,2025-08-16
P05999,Employee Payroll System,Employee Payroll System project for DataCorp,DataCorp,EMP119,Data Engineering,2025-02-25,2025-07-29,2025-08-28,Delayed,Low,44,1395000,4,2025-01-14
P06000,HR Automation System,HR Automation System project for CloudWorks,CloudWorks,EMP116,Customer Success,2026-03-11,2026-07-16,,In Progress,Low,25,735000,13,2026-02-10
P06001,CRM Implementation,CRM Implementation project for ServicePro,ServicePro,EMP126,Customer Success,2026-07-20,2026-09-23,2026-09-25,Completed,High,100,600000,19,2026-05-25
P06002,Warehouse Automation,Warehouse Automation project for ABC Corporation,ABC Corporation,EMP107,Marketing,2026-06-12,2027-02-27,,In Progress,High,52,615000,9,2026-05-02
P06003,CRM Implementation,CRM Implementation project for ABC Retail,ABC Retail,EMP118,Development,2025-11-26,2026-08-02,,In Progress,Medium,42,1125000,15,2025-10-18
P06004,Online Learning Platform,Online Learning Platform project for SecureNet,SecureNet,EMP140,IT,2025-01-21,2025-12-12,,Planning,High,12,1760000,9,2024-12-17
P06005,Marketing Analytics Platform,Marketing Analytics Platform project for OfficePro,OfficePro,EMP131,Customer Success,2025-06-21,2026-02-05,,In Progress,Critical,65,950000,5,2025-06-01
P06006,Customer Support Chatbot,Customer Support Chatbot project for PeopleFirst,PeopleFirst,EMP150,AI Development,2025-06-07,2026-02-25,2026-03-02,Completed,Low,100,2185000,10,2025-04-12
P06007,Financial Reporting Dashboard,Financial Reporting Dashboard project for MedCare Hospitals,MedCare Hospitals,EMP139,Healthcare IT,2025-01-05,2025-06-13,2025-08-16,Delayed,High,73,1590000,11,2024-12-07
P06008,Cybersecurity Upgrade,Cybersecurity Upgrade project for MarketPlus,MarketPlus,EMP119,Development,2025-03-13,2025-08-29,,In Progress,Medium,56,1270000,10,2025-03-02
P06009,HR Automation System,HR Automation System project for RetailAnalytics,RetailAnalytics,EMP139,Sales,2025-12-11,2026-06-05,,In Progress,Medium,88,975000,7,2025-11-27
P06010,HR Automation System,HR Automation System project for LogiTech,LogiTech,EMP144,Security,2025-02-28,2026-02-18,2026-02-15,Completed,Low,100,505000,20,2025-01-20
P06011,Employee Training Portal,Employee Training Portal project for IndustrialTech,IndustrialTech,EMP132,Development,2025-01-24,2025-08-08,,In Progress,Medium,95,1490000,13,2024-12-07
P06012,Employee Payroll System,Employee Payroll System project for EduTech,EduTech,EMP139,Data Engineering,2026-07-22,2027-06-08,,In Progress,High,70,1100000,14,2026-06-22
P06013,Data Warehouse Development,Data Warehouse Development project for MarketPlus,MarketPlus,EMP126,Healthcare IT,2025-12-29,2026-05-25,,In Progress,Medium,90,2415000,13,2025-11-22
P06014,Online Learning Platform,Online Learning Platform project for EduTech,EduTech,EMP146,Marketing,2026-04-29,2027-01-18,,In Progress,Medium,95,1920000,9,2026-03-05
P06015,Cloud Migration Project,Cloud Migration Project project for ServicePro,ServicePro,EMP112,AI Development,2025-05-30,2025-10-09,,In Progress,Medium,82,555000,20,2025-05-17
P06016,Mobile Banking Application,Mobile Banking Application project for LogiTech,LogiTech,EMP122,Sales,2025-08-07,2026-01-26,,In Progress,High,27,1500000,10,2025-06-16
P06017,Healthcare Management System,Healthcare Management System project for MedCare Hospitals,MedCare Hospitals,EMP113,Healthcare IT,2026-01-02,2026-11-17,,Planning,Medium,14,2215000,3,2025-11-30
P06018,HR Automation System,HR Automation System project for PeopleFirst,PeopleFirst,EMP106,Sales,2026-02-17,2026-11-07,,In Progress,Low,27,2365000,11,2026-01-26
P06019,Employee Payroll System,Employee Payroll System project for SalesPro,SalesPro,EMP131,Operations,2025-08-09,2026-02-25,,In Progress,Critical,38,2345000,11,2025-07-27
P06020,Employee Payroll System,Employee Payroll System project for ABC Corporation,ABC Corporation,EMP106,IT Infrastructure,2026-07-06,2026-12-28,,In Progress,Medium,79,2090000,9,2026-05-17
P06021,Financial Reporting Dashboard,Financial Reporting Dashboard project for IndustrialTech,IndustrialTech,EMP112,Finance,2026-02-27,2026-12-24,,In Progress,High,58,875000,6,2026-01-22
P06022,Financial Reporting Dashboard,Financial Reporting Dashboard project for MarketPlus,MarketPlus,EMP139,Customer Success,2025-05-13,2025-08-15,,In Progress,Low,66,1670000,11,2025-04-07
P06023,Healthcare Management System,Healthcare Management System project for RetailAnalytics,RetailAnalytics,EMP113,Marketing,2025-02-28,2026-01-10,,In Progress,Medium,47,1845000,3,2025-01-18
P06024,Social Media Analytics,Social Media Analytics project for SalesPro,SalesPro,EMP144,Security,2025-01-09,2025-09-09,,Planning,Medium,18,2125000,9,2024-12-20
P06025,Marketing Analytics Platform,Marketing Analytics Platform project for DigitalHub,DigitalHub,EMP103,Human Resources,2026-05-22,2026-10-19,,In Progress,High,43,2245000,17,2026-05-11
P06026,Employee Payroll System,Employee Payroll System project for RetailAnalytics,RetailAnalytics,EMP123,Data Engineering,2026-05-10,2027-02-02,,Planning,High,14,1445000,15,2026-04-30
P06027,Supply Chain Analytics,Supply Chain Analytics project for MedCare Hospitals,MedCare Hospitals,EMP104,Human Resources,2025-10-15,2026-10-12,,In Progress,Medium,77,980000,16,2025-09-02
P06028,Data Warehouse Development,Data Warehouse Development project for FinanceCorp,FinanceCorp,EMP103,Healthcare IT,2026-03-10,2026-08-13,,In Progress,High,16,1435000,5,2026-02-24
